X,visits,days_attend,hours_attend,gender,age,zip,extend,length,spend_food_drink,spend_private,spend_clothes,spend_transportation,spend_donations,spend_other,spend_food_drink_total,spend_entertainment_total,spend_shopping_total,spend_travel_total,length_boulder,lodging,lodging_cost
147,20,1-2 days,1,Male,65-74,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,0,0,0,$100-$199,$20-$49,NA,NA,NA,"Friends, family or no expense",NA
164,20,1-2 days,3,Female,55-64,80306,NA,I live here,$21-$49,"$2,000-$3,000",$21-$49,"$2,000-$3,000",$1 - $20,"$5,000.00",$1 - $20,$1 - $20,$20-$49,$200-$499,NA,Home,240
179,3-4 times,3-4 days,4,Female,65-74,80309,NA,1 day,$21-$49,0,0,$21-$49,$200-$499,$21-$49,$50-$99,$500-$999,$20-$49,$20-$49,One night,Hotel or motel,240
271,20,7-8 days,2,Female,45-54,80305,Yes,Live in area,$1 - $20,"$1,000-$1,499","$1,000-$1,499",0,"$1,000-$1,499","$5,000.00",$100-$199,$20-$49,$200-$499,$1 - $20,Local,Boulder Resident,500
19,20,1-2 days,6,Female,55-64,80303,NA,-,0,0,$50-$99,0,0,0,$100-$199,$100-$199,$50-$99,$200-$499,Three nights,"Friends, family or no expense",200
289,5-6 times,0,8,Female,35-44,95833,NA,I live here,$1 - $20,$200-$499,$1 - $20,0,"$1,000-$1,499",$200-$499,$20-$49,$1 - $20,$1 - $20,$1 - $20,Two nights,"Friends, family or no expense",175
226,3-4 times,3-4 days,2,Male,45-54,80309,No,1 day,$50-$99,0,0,$1 - $20,$1 - $20,0,$100-$199,0,$200-$499,NA,Day trip,Home,175
110,20,5-6 days,3,Female,55-64,80304,Yes,A few hours,$100-$199,$200-$499,$21-$49,NA,$50-$99,"$5,000.00",$1 - $20,$100-$199,$1 - $20,$500-$999,Local,NA,N/A
147,20,1-2 days,1,Male,65-74,80306,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,0,0,0,$100-$199,$20-$49,NA,NA,NA,"Friends, family or no expense",NA
206,20,5-6 days,2,Female,Prefer not to say,80309,NA,A few hours,$50-$99,NA,$1 - $20,$1 - $20,"$1,000-$1,499",$21-$49,$20-$49,$1 - $20,$500-$999,$50-$99,Day trip,"Friends, family or no expense",240
258,20,1-2 days,1,Female,55-64,93440,No,Didn't extend stay,NA,0,NA,$500-$999,$100-$199,$21-$49,$50-$99,$50-$99,$50-$99,$50-$99,Day trip,Hotel or motel,125
210,20,3-4 days,3,Female,25-34,80306,NA,Zero,$50-$99,$1 - $20,0,$21-$49,$1 - $20,0,0,NA,NA,0,Four nights,Hotel or motel,240
42,5-6 times,0,0.5,Male,25-34,80309,No,Home is here,0,0,0,0,0,0,$20-$49,$20-$49,$100-$199,$1 - $20,Multiple day trips,Boulder Resident,200
215,20,5-6 days,8,Female,25-34,80303,No,2 days,$50-$99,$50-$99,$1 - $20,$21-$49,$100-$199,0,"$2,000-$4,999",0,0,$20-$49,I live here,Home,280
9,20,1-2 days,2,Male,35-44,80309,No,1 day,0,0,0,0,0,0,$100-$199,$200-$499,$20-$49,$1 - $20,I live here,NA,3
58,20,1-2 days,1,Male,45-54,80309,No,2 days,$1 - $20,0,0,0,0,0,"$1,000-$1,999",$1 - $20,$200-$499,$200-$499,Four nights,Home,200
290,5-6 times,3-4 days,4,Female,55-64,80306,No,Didn't extend stay,$500-$999,$1 - $20,0,$500-$999,"$1,000-$1,499",$50-$99,$1 - $20,$20-$49,0,$20-$49,Live in Boulder,NA,240
58,20,1-2 days,1,Male,45-54,80309,No,2 days,$1 - $20,0,0,0,0,0,"$1,000-$1,999",$1 - $20,$200-$499,$200-$499,Four nights,Home,200
211,20,3-4 days,4,Male,35-44,80303,No,Didn't extend stay,$50-$99,$50-$99,0,$21-$49,0,0,$20-$49,$200-$499,$20-$49,$50-$99,Four nights,"Friends, family or no expense",125
151,20,3-4 days,4,Female,25-34,80303,No,Home is here,$21-$49,0,0,$1 - $20,0,0,"$2,000-$4,999",$1 - $20,$200-$499,NA,Multiple day trips,NA,200
214,20,3-4 days,6,Female,25-34,80306,Yes,I live here,$50-$99,$100-$199,$1 - $20,$21-$49,NA,"$3,000-$4,000",$20-$49,$50-$99,NA,$50-$99,NA,Home,N/A
271,20,7-8 days,2,Female,45-54,80305,Yes,Live in area,$1 - $20,"$1,000-$1,499","$1,000-$1,499",0,"$1,000-$1,499","$5,000.00",$100-$199,$20-$49,$200-$499,$1 - $20,Local,Boulder Resident,500
192,5-6 times,3-4 days,3,Male,45-54,80306,Yes,Live in area,$21-$49,"$1,000-$1,499",$21-$49,$1 - $20,"$1,000-$1,499",$21-$49,NA,$200-$499,$500-$999,$20-$49,Local,Boulder Resident,175
247,1,3-4 days,6,Female,25-34,12345,Yes,1 day,$500-$999,NA,$500-$999,$100-$199,$500-$999,0,$50-$99,$20-$49,$50-$99,$1 - $20,Three nights,Hotel or motel,240
42,5-6 times,0,0.5,Male,25-34,80309,No,Home is here,0,0,0,0,0,0,$20-$49,$20-$49,$100-$199,$1 - $20,Multiple day trips,Boulder Resident,200
82,1-2 times,3-4 days,10,Female,55-64,80306,No,1 day,$1 - $20,$21-$49,$1 - $20,$21-$49,$500-$999,"$5,000.00",$20-$49,$100-$199,0,$20-$49,Multiple day trips,Home,3
1,0,0,8,Male,55-64,80309,NA,I live here,0,0,0,0,0,0,0,$1 - $20,$200-$499,$500-$999,One night,Home,NA
204,20,1-2 days,5,Female,18-24,80303,No,2 days,$50-$99,0,0,$1 - $20,0,$200-$499,$200-$499,$200-$499,$1 - $20,$500-$999,Three nights,Boulder Resident,500
7,20,0,3,Male,45-54,80302,No,Zero,0,0,0,0,0,0,"$2,000-$4,999",$1 - $20,$100-$199,$20-$49,Three nights,Boulder Resident,NA
61,20,0,2,Female,75-84,80309,No,Live in area,$1 - $20,0,0,0,$21-$49,$100-$199,NA,$20-$49,NA,$20-$49,Local,Hotel or motel,NA
164,20,1-2 days,3,Female,55-64,80306,NA,I live here,$21-$49,"$2,000-$3,000",$21-$49,"$2,000-$3,000",$1 - $20,"$5,000.00",$1 - $20,$1 - $20,$20-$49,$200-$499,NA,Home,240
27,1-2 times,1-2 days,1,Female,45-54,80309,No,I live here,0,0,0,0,0,0,$20-$49,$1 - $20,$200-$499,$500-$999,Four nights,Hotel or motel,NA
281,1-2 times,3-4 days,4,Male,18-24,93107,Yes,-,$200-$499,$100-$199,"$1,000-$1,499",$1 - $20,$100-$199,$21-$49,$1 - $20,0,0,0,Resident,Home,0
75,20,1-2 days,1,Female,65-74,80306,NA,I live here,$1 - $20,NA,NA,NA,$200-$499,"$3,000-$4,000",$200-$499,$20-$49,NA,$1 - $20,NA,Boulder Resident,175
167,25,3-4 days,3,Female,65-74,80303,No,Live in area,$21-$49,0,0,0,0,$21-$49,$20-$49,0,0,$50-$99,One night,"Friends, family or no expense",NA
5,7,3-4 days,2,Female,45-54,80304,Yes,Didn't extend stay,0,0,0,$1 - $20,0,0,$100-$199,0,$500-$999,$50-$99,Multiple day trips,Hotel or motel,0
91,5-6 times,1-2 days,2,Female,35-44,93111,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,0,0,0,0,$1 - $20,$200-$499,$50-$99,0,Three nights,Home,125
244,5-6 times,3-4 days,8,Male,45-54,80302,NA,I live here,$500-$999,0,$200-$499,"$2,000-$3,000",$500-$999,0,$1 - $20,$20-$49,$200-$499,NA,Day trip,"Friends, family or no expense",500
243,3-4 times,3-4 days,10,Male,55-64,80303,NA,-,$500-$999,0,0,$1 - $20,$100-$199,$21-$49,$20-$49,$20-$49,$1 - $20,$50-$99,Four nights,Boulder Resident,500
274,20,3-4 days,6,Female,55-64,80306,No,Home is here,NA,$1 - $20,$1 - $20,$100-$199,"$1,000-$1,499",$100-$199,$100-$199,NA,$200-$499,$1 - $20,One night,NA,0
190,5-6 times,3-4 days,3,Female,25-34,80303,No,Live in area,$21-$49,0,$1 - $20,$1 - $20,0,"$3,000-$4,000",$200-$499,$1 - $20,$20-$49,$200-$499,Live in Boulder,Home,175
167,25,3-4 days,3,Female,65-74,80303,No,Live in area,$21-$49,0,0,0,0,$21-$49,$20-$49,0,0,$50-$99,One night,"Friends, family or no expense",NA
156,20,1-2 days,4,Female,35-44,80309,Yes,1 day,$21-$49,$200-$499,NA,$1 - $20,$200-$499,$200-$499,$20-$49,$50-$99,$500-$999,$50-$99,Three nights,Boulder Resident,125
30,1-2 times,0,0,Male,65-74,80303,No,1 day,0,0,0,0,0,0,$100-$199,$20-$49,0,NA,Two nights,NA,200
79,1-2 times,1-2 days,0.5,Male,18-24,80306,No,Live in area,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$50-$99,$1 - $20,$100-$199,$50-$99,Multiple day trips,NA,200
50,5-6 times,3-4 days,4,Female,55-64,93108,Yes,0,0,$200-$499,0,0,$200-$499,$200-$499,"$2,000-$4,999",$1 - $20,$20-$49,$500-$999,Resident,NA,N/A
136,5-6 times,40,4,Female,45-54,80309,No,Live in area,$200-$499,0,"$1,000.00",$100-$199,$50-$99,$100-$199,"$1,000-$1,999",$200-$499,0,NA,Local,Boulder Resident,0
79,1-2 times,1-2 days,0.5,Male,18-24,80306,No,Live in area,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$1 - $20,$50-$99,$1 - $20,$100-$199,$50-$99,Multiple day trips,NA,200
65,20,3-4 days,3,Female,45-54,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,$1 - $20,$1 - $20,0,$1 - $20,$1 - $20,$1 - $20,NA,$50-$99,$50-$99,Resident,Home,200
138,1,3-4 days,4,Female,45-54,80303,No,NA,$21-$49,$1 - $20,0,0,0,$1 - $20,"$2,000-$4,999",0,$100-$199,$500-$999,Multiple day trips,"Friends, family or no expense",240
228,3-4 times,7-8 days,6,Male,25-34,80303,NA,1 day,$50-$99,$100-$199,$1 - $20,$1 - $20,0,"$3,000-$4,000","$1,000-$1,999",$50-$99,$1 - $20,$1 - $20,Two nights,NA,200
65,20,3-4 days,3,Female,45-54,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,$1 - $20,$1 - $20,0,$1 - $20,$1 - $20,$1 - $20,NA,$50-$99,$50-$99,Resident,Home,200
225,3-4 times,1-2 days,4,Male,25-34,80303,NA,I live here,$50-$99,0,0,0,0,$1 - $20,"$1,000-$1,999",$200-$499,0,$50-$99,Four nights,Boulder Resident,280
144,20,1-2 days,6,Female,55-64,80305,No,0,$21-$49,0,0,$1 - $20,0,0,"$1,000-$1,999",$20-$49,0,$500-$999,Local resident,NA,NA
213,20,3-4 days,5,Female,55-64,93108,NA,NA,$50-$99,0,$1 - $20,$21-$49,$1 - $20,$1 - $20,0,$50-$99,$200-$499,$200-$499,Live in Boulder,"Friends, family or no expense",500
91,5-6 times,1-2 days,2,Female,35-44,93111,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,0,0,0,0,$1 - $20,$200-$499,$50-$99,0,Three nights,Home,125
148,20,3-4 days,3,Female,35-44,80306,Yes,2 days,$21-$49,0,$1 - $20,0,$1 - $20,$100-$199,NA,$50-$99,$100-$199,$1 - $20,Three nights,Hotel or motel,500
152,20,1-2 days,2.5,Female,25-34,80304,No,2 days,$21-$49,0,$1 - $20,$1 - $20,0,$21-$49,"$2,000-$4,999",0,$20-$49,$200-$499,Live in Boulder,"Friends, family or no expense",280
32,1-2 times,0,0,Female,65-74,80303,No,1 day,0,0,0,0,0,0,$1 - $20,$50-$99,$20-$49,0,I live here,Home,175
237,5-6 times,3-4 days,2.5,Female,25-34,80302,No,1 day,$50-$99,0,0,$21-$49,$1 - $20,0,$20-$49,$500-$999,$200-$499,NA,Resident,Hotel or motel,280
247,1,3-4 days,6,Female,25-34,12345,Yes,1 day,$500-$999,NA,$500-$999,$100-$199,$500-$999,0,$50-$99,$20-$49,$50-$99,$1 - $20,Three nights,Hotel or motel,240
83,3-4 times,1-2 days,3,Female,35-44,80303,Yes,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,0,0,0,$1 - $20,$20-$49,$500-$999,$100-$199,NA,Multiple day trips,"Friends, family or no expense",280
31,1-2 times,0,0,Female,65-74,80309,NA,0,0,0,0,0,0,0,$100-$199,$20-$49,$20-$49,$1 - $20,Multiple day trips,Home,200
82,1-2 times,3-4 days,10,Female,55-64,80306,No,1 day,$1 - $20,$21-$49,$1 - $20,$21-$49,$500-$999,"$5,000.00",$20-$49,$100-$199,0,$20-$49,Multiple day trips,Home,3
189,5-6 times,1-2 days,0.5,Female,55-64,93108,Yes,Live in area,$21-$49,0,0,$1 - $20,0,$50-$99,$20-$49,$50-$99,$1 - $20,$50-$99,Local resident,Home,200
236,5-6 times,3-4 days,5,Male,45-54,80303,NA,NA,$50-$99,$500-$999,$100-$199,$200-$499,$500-$999,$50-$99,"$2,000-$4,999",$20-$49,$1 - $20,$200-$499,Local,Home,240
22,20,1-2 days,3,Female,65-74,80309,No,A few hours,0,0,0,$1 - $20,0,$1 - $20,$1 - $20,NA,$1 - $20,$1 - $20,Local,"Friends, family or no expense",200
268,20,3-4 days,4,Female,35-44,80305,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,"$1,000-$1,499","$1,000-$1,499",$21-$49,$1 - $20,$1 - $20,$50-$99,$50-$99,$20-$49,$20-$49,Two nights,"Friends, family or no expense",240
152,20,1-2 days,2.5,Female,25-34,80304,No,2 days,$21-$49,0,$1 - $20,$1 - $20,0,$21-$49,"$2,000-$4,999",0,$20-$49,$200-$499,Live in Boulder,"Friends, family or no expense",280
186,5-6 times,1-2 days,3,Male,25-34,80303,No,1 day,$21-$49,0,0,0,0,NA,$100-$199,NA,$20-$49,$20-$49,Day trip,Boulder Resident,175
43,5-6 times,1-2 days,1,Female,25-34,93108,No,Zero,0,0,0,0,0,0,$200-$499,NA,$200-$499,$20-$49,I live here,Boulder Resident,NA
233,5-6 times,7-8 days,5,Female,35-44,80303,NA,NA,$50-$99,$1 - $20,$500-$999,$21-$49,$1 - $20,$1 - $20,"$2,000-$4,999",$500-$999,$500-$999,$500-$999,Resident,"Friends, family or no expense",0
273,20,3-4 days,6,Male,25-34,80305,Yes,0,"$1,000.00",0,$100-$199,$21-$49,$50-$99,$500-$999,$100-$199,$20-$49,$50-$99,$50-$99,Resident,Boulder Resident,240
167,25,3-4 days,3,Female,65-74,80303,No,Live in area,$21-$49,0,0,0,0,$21-$49,$20-$49,0,0,$50-$99,One night,"Friends, family or no expense",NA
43,5-6 times,1-2 days,1,Female,25-34,93108,No,Zero,0,0,0,0,0,0,$200-$499,NA,$200-$499,$20-$49,I live here,Boulder Resident,NA
174,1-2 times,3-4 days,5,Female,25-34,80309,Yes,2 days,$21-$49,0,$21-$49,$21-$49,0,0,"$2,000-$4,999",0,$1 - $20,$50-$99,NA,"Friends, family or no expense",N/A
139,1,1-2 days,1,Female,25-34,80306,No,2 days,$21-$49,0,0,$1 - $20,0,0,$50-$99,$20-$49,$20-$49,$500-$999,Three nights,Boulder Resident,280
25,1-2 times,0,0,Female,45-54,80303,Yes,Didn't extend stay,0,0,0,0,0,0,$1 - $20,0,$20-$49,NA,Four nights,NA,125
37,3-4 times,0,1,Male,45-54,93003,No,A few hours,0,0,0,0,0,0,$20-$49,$50-$99,$500-$999,$20-$49,Two nights,NA,280
218,20,5-6 days,5,Female,25-34,80303,Yes,2 days,$50-$99,$50-$99,$21-$49,$21-$49,0,$21-$49,"$2,000-$4,999",$50-$99,$200-$499,$20-$49,Local resident,Boulder Resident,0
53,12,1-2 days,2,Female,65-74,80309,Yes,NA,0,0,0,0,0,0,$50-$99,$500-$999,$200-$499,$200-$499,NA,Home,175
112,56,20,4,Female,55-64,93111,No,Didn't extend stay,$100-$199,$200-$499,$200-$499,$100-$199,$200-$499,"$5,000.00",$1 - $20,$20-$49,NA,$50-$99,Local resident,Hotel or motel,175
3,1,0,0,Female,65-74,80303,No,Zero,0,0,0,0,0,0,$100-$199,NA,0,$20-$49,Multiple day trips,"Friends, family or no expense",0
161,20,3-4 days,9,Male,35-44,80305,No,A few hours,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$21-$49,$200-$499,$1 - $20,NA,$50-$99,NA,Home,N/A
102,20,3-4 days,8,Female,35-44,80303,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$100-$199,$100-$199,$1 - $20,$1 - $20,0,"$3,000-$4,000",$200-$499,$100-$199,$100-$199,$1 - $20,Three nights,NA,500
257,20,3-4 days,5,Female,18-24,93013,No,0,$200-$499,$200-$499,$200-$499,$100-$199,$100-$199,"$5,000.00",$20-$49,$200-$499,$100-$199,$50-$99,Day trip,Boulder Resident,125
125,20,7-8 days,3,Female,35-44,80309,No,NA,$200-$499,0,$21-$49,$21-$49,0,$200-$499,$20-$49,NA,$500-$999,$50-$99,One night,"Friends, family or no expense",NA
166,20,1-2 days,2,Female,55-64,80306,NA,Didn't extend stay,$21-$49,$100-$199,$100-$199,$100-$199,$500-$999,$200-$499,0,$1 - $20,$200-$499,$500-$999,Local,Home,175
141,10,3-4 days,3,Female,35-44,80305,NA,2 days,$21-$49,0,$1 - $20,$1 - $20,$1 - $20,0,$20-$49,$200-$499,$50-$99,$200-$499,I live here,Hotel or motel,240
278,35,3-4 days,4,Female,85,80305,Yes,NA,$1 - $20,0,NA,$500-$999,$200-$499,"$5,000.00",$200-$499,$100-$199,$100-$199,$20-$49,Day trip,"Friends, family or no expense",240
199,20,1-2 days,2,Male,55-64,93013,No,2 days,$50-$99,$500-$999,$21-$49,$100-$199,$21-$49,$1 - $20,$100-$199,NA,0,0,NA,Home,500
265,20,3-4 days,2,Female,55-64,80305,No,Live in area,$50-$99,$21-$49,$200-$499,$200-$499,0,$100-$199,$1 - $20,$20-$49,$20-$49,$20-$49,Local resident,Home,N/A
97,5-6 times,1-2 days,3,Female,55-64,80306,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,0,0,$1 - $20,0,$1 - $20,$1 - $20,$50-$99,NA,$500-$999,I live here,NA,3
207,20,3-4 days,2,Female,65-74,80309,No,Zero,$50-$99,0,$21-$49,$1 - $20,0,0,$50-$99,$200-$499,$1 - $20,$200-$499,Three nights,Hotel or motel,280
129,20,7-8 days,3,Female,35-44,80309,Yes,I live here,$200-$499,0,$21-$49,$21-$49,0,$100-$199,NA,$500-$999,$500-$999,$1 - $20,Three nights,Home,240
31,1-2 times,0,0,Female,65-74,80309,NA,0,0,0,0,0,0,0,$100-$199,$20-$49,$20-$49,$1 - $20,Multiple day trips,Home,200
290,5-6 times,3-4 days,4,Female,55-64,80306,No,Didn't extend stay,$500-$999,$1 - $20,0,$500-$999,"$1,000-$1,499",$50-$99,$1 - $20,$20-$49,0,$20-$49,Live in Boulder,NA,240
32,1-2 times,0,0,Female,65-74,80303,No,1 day,0,0,0,0,0,0,$1 - $20,$50-$99,$20-$49,0,I live here,Home,175
235,5-6 times,1-2 days,8,Male,35-44,80309,Yes,Didn't extend stay,$50-$99,0,$50-$99,$1 - $20,$21-$49,0,"$1,000-$1,999",$50-$99,$50-$99,$1 - $20,Live in Boulder,Home,0
123,20,3-4 days,5,Female,25-34,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$200-$499,$100-$199,$1 - $20,$21-$49,$1 - $20,0,$100-$199,NA,$100-$199,0,Live in Boulder,Hotel or motel,280
218,20,5-6 days,5,Female,25-34,80303,Yes,2 days,$50-$99,$50-$99,$21-$49,$21-$49,0,$21-$49,"$2,000-$4,999",$50-$99,$200-$499,$20-$49,Local resident,Boulder Resident,0
271,20,7-8 days,2,Female,45-54,80305,Yes,Live in area,$1 - $20,"$1,000-$1,499","$1,000-$1,499",0,"$1,000-$1,499","$5,000.00",$100-$199,$20-$49,$200-$499,$1 - $20,Local,Boulder Resident,500
154,20,3-4 days,2,Female,75-84,80304,Yes,2 days,$21-$49,0,$100-$199,$1 - $20,0,0,NA,0,0,NA,Day trip,"Friends, family or no expense",125
25,1-2 times,0,0,Female,45-54,80303,Yes,Didn't extend stay,0,0,0,0,0,0,$1 - $20,0,$20-$49,NA,Four nights,NA,125
94,5-6 times,1-2 days,2,Female,35-44,80309,Yes,1 day,$1 - $20,0,0,0,0,$21-$49,"$2,000-$4,999",NA,$100-$199,$500-$999,Local,Hotel or motel,240
150,20,1-2 days,3,Female,65-74,80302,No,Home is here,$21-$49,0,0,$1 - $20,0,$21-$49,0,NA,$50-$99,0,Four nights,NA,200
188,5-6 times,1-2 days,3,Female,35-44,80309,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,0,0,$1 - $20,0,0,$1 - $20,$100-$199,$200-$499,$20-$49,Day trip,"Friends, family or no expense",N/A
9,20,1-2 days,2,Male,35-44,80309,No,1 day,0,0,0,0,0,0,$100-$199,$200-$499,$20-$49,$1 - $20,I live here,NA,3
19,20,1-2 days,6,Female,55-64,80303,NA,-,0,0,$50-$99,0,0,0,$100-$199,$100-$199,$50-$99,$200-$499,Three nights,"Friends, family or no expense",200
8,20,0,0,Female,25-34,80306,Yes,-,0,0,0,0,0,0,"$1,000-$1,999",$1 - $20,$1 - $20,$50-$99,Four nights,Home,125
34,1-2 times,1-2 days,1,Male,75-84,80306,No,-,0,0,0,0,0,0,0,$100-$199,NA,0,Four nights,Home,240
245,1,1-2 days,2,Male,45-54,91320,Yes,A few hours,$200-$499,$1 - $20,$1 - $20,0,$1 - $20,$500-$999,$50-$99,$50-$99,$50-$99,$50-$99,One night,Hotel or motel,125
15,20,0,0,Male,65-74,80309,NA,Home is here,0,0,0,0,0,0,$50-$99,0,0,$20-$49,I live here,Boulder Resident,500
250,20,0,3,Female,55-64,92463,No,0,$1 - $20,$50-$99,$500-$999,NA,NA,"$5,000.00",$200-$499,$100-$199,$50-$99,NA,NA,"Friends, family or no expense",3
129,20,7-8 days,3,Female,35-44,80309,Yes,I live here,$200-$499,0,$21-$49,$21-$49,0,$100-$199,NA,$500-$999,$500-$999,$1 - $20,Three nights,Home,240
31,1-2 times,0,0,Female,65-74,80309,NA,0,0,0,0,0,0,0,$100-$199,$20-$49,$20-$49,$1 - $20,Multiple day trips,Home,200
291,5-6 times,7-8 days,3,Female,45-54,80306,NA,Didn't extend stay,$21-$49,$50-$99,$1 - $20,$1 - $20,$21-$49,$1 - $20,0,NA,$50-$99,$50-$99,Resident,NA,500
213,20,3-4 days,5,Female,55-64,93108,NA,NA,$50-$99,0,$1 - $20,$21-$49,$1 - $20,$1 - $20,0,$50-$99,$200-$499,$200-$499,Live in Boulder,"Friends, family or no expense",500
248,1,3-4 days,4,Female,35-44,93611,NA,A few hours,$1 - $20,$21-$49,$100-$199,$1 - $20,NA,$21-$49,"$1,000-$1,999",0,$50-$99,$200-$499,Three nights,Hotel or motel,500
243,3-4 times,3-4 days,10,Male,55-64,80303,NA,-,$500-$999,0,0,$1 - $20,$100-$199,$21-$49,$20-$49,$20-$49,$1 - $20,$50-$99,Four nights,Boulder Resident,500
70,20,5-6 days,3,Female,18-24,80309,No,Zero,$1 - $20,0,$1 - $20,$1 - $20,0,0,$20-$49,$200-$499,$200-$499,$20-$49,Local resident,Boulder Resident,240
78,1-2 times,3-4 days,4,Male,55-64,80304,NA,Home is here,$1 - $20,0,0,0,0,0,NA,NA,$500-$999,$200-$499,Resident,Boulder Resident,NA
151,20,3-4 days,4,Female,25-34,80303,No,Home is here,$21-$49,0,0,$1 - $20,0,0,"$2,000-$4,999",$1 - $20,$200-$499,NA,Multiple day trips,NA,200
27,1-2 times,1-2 days,1,Female,45-54,80309,No,I live here,0,0,0,0,0,0,$20-$49,$1 - $20,$200-$499,$500-$999,Four nights,Hotel or motel,NA
270,20,1-2 days,3,Male,35-44,93111,No,Didn't extend stay,$500-$999,$50-$99,$50-$99,$1 - $20,"$1,000-$1,499","$5,000.00",0,$20-$49,$50-$99,NA,Live in Boulder,Home,175
264,20,1-2 days,5,Female,35-44,80302,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$21-$49,"$1,000-$1,499",$100-$199,$50-$99,$50-$99,$21-$49,$50-$99,$50-$99,$200-$499,$20-$49,Live in Boulder,Home,200
263,20,1-2 days,2,Female,35-44,80305,NA,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$100-$199,$1 - $20,$200-$499,"$2,000-$3,000","$1,000-$1,499",0,$20-$49,0,$50-$99,0,Live in Boulder,Home,0
167,25,3-4 days,3,Female,65-74,80303,No,Live in area,$21-$49,0,0,0,0,$21-$49,$20-$49,0,0,$50-$99,One night,"Friends, family or no expense",NA
148,20,3-4 days,3,Female,35-44,80306,Yes,2 days,$21-$49,0,$1 - $20,0,$1 - $20,$100-$199,NA,$50-$99,$100-$199,$1 - $20,Three nights,Hotel or motel,500
132,20,7-8 days,9,Female,55-64,80309,Yes,2 days,$200-$499,$100-$199,$500-$999,$50-$99,$100-$199,$200-$499,$50-$99,$100-$199,$20-$49,$500-$999,Three nights,Home,0
65,20,3-4 days,3,Female,45-54,80309,No,"Well, we try not to extend our stay, but the traffic blockage caused by the Festival slow us down.",$1 - $20,$1 - $20,$1 - $20,0,$1 - $20,$1 - $20,$1 - $20,NA,$50-$99,$50-$99,Resident,Home,200
216,20,5-6 days,5,Female,45-54,80303,No,Home is here,$50-$99,$100-$199,$100-$199,$21-$49,0,$500-$999,$100-$199,$500-$999,$50-$99,NA,One night,Home,3
152,20,1-2 days,2.5,Female,25-34,80304,No,2 days,$21-$49,0,$1 - $20,$1 - $20,0,$21-$49,"$2,000-$4,999",0,$20-$49,$200-$499,Live in Boulder,"Friends, family or no expense",280
198,1,1-2 days,4,Male,35-44,93454,NA,2 days,$50-$99,0,$21-$49,$21-$49,0,0,$1 - $20,0,$100-$199,$200-$499,Live in Boulder,NA,240
153,20,5-6 days,4,Female,35-44,80306,No,Didn't extend stay,$21-$49,$21-$49,$1 - $20,$1 - $20,"$1,000-$1,499",$1 - $20,"$2,000-$4,999",0,$200-$499,$50-$99,Resident,Home,125
281,1-2 times,3-4 days,4,Male,18-24,93107,Yes,-,$200-$499,$100-$199,"$1,000-$1,499",$1 - $20,$100-$199,$21-$49,$1 - $20,0,0,0,Resident,Home,0
128,20,7-8 days,3,Female,35-44,80309,No,Live in area,$200-$499,0,$21-$49,$21-$49,0,$200-$499,$20-$49,$200-$499,NA,$20-$49,Four nights,Boulder Resident,NA
122,20,5-6 days,3,Male,65-74,80309,Yes,A few hours,$200-$499,$21-$49,$1 - $20,0,$50-$99,$21-$49,"$2,000-$4,999",$50-$99,$1 - $20,0,Two nights,"Friends, family or no expense",280
217,20,3-4 days,2,Female,45-54,93111,No,A few hours,$50-$99,0,$21-$49,$21-$49,$1 - $20,0,$20-$49,$500-$999,NA,0,Resident,NA,125
41,5-6 times,1-2 days,2,Female,45-54,96161,No,A few hours,0,0,0,0,0,$1 - $20,"$2,000-$4,999",$20-$49,$100-$199,$200-$499,I live here,Hotel or motel,240
236,5-6 times,3-4 days,5,Male,45-54,80303,NA,NA,$50-$99,$500-$999,$100-$199,$200-$499,$500-$999,$50-$99,"$2,000-$4,999",$20-$49,$1 - $20,$200-$499,Local,Home,240
174,1-2 times,3-4 days,5,Female,25-34,80309,Yes,2 days,$21-$49,0,$21-$49,$21-$49,0,0,"$2,000-$4,999",0,$1 - $20,$50-$99,NA,"Friends, family or no expense",N/A
